ContentNormalizedHash,PostId,PostTypeId,ParentId,RootDomain,CompleteDomain,Url
-4516195111866622003,38839586,2,38839451,php.net,php.net,http://php.net/manual/en/function.mail.php
-4516195111866622003,20335447,2,20335172,php.net,php.net,http://php.net/manual/en/function.mail.php
-4516195111866622003,31311052,2,31310855,php.net,php.net,http://php.net/manual/en/function.mail.php
-4516195111866622003,31311052,2,31310855,php.net,php.net,http://php.net/manual/en/function.mail.php
-4516195111866622003,15235360,2,15235341,php.net,php.net,http://php.net/manual/en/function.mail.php
-4516195111866622003,36237925,2,36237581,php.net,php.net,http://php.net/manual/en/function.mail.php
-4516195111866622003,18018759,2,18018476,php.net,php.net,http://php.net/manual/en/function.mail.php
-4516195111866622003,36237925,2,36237581,php.net,php.net,http://php.net/manual/en/function.error-reporting.php
-4516195111866622003,13819522,2,13819424,php.net,php.net,http://php.net/manual/en/function.mail.php
-3990695818406800162,18382062,2,18379238,php.net,php.net,http://php.net/manual/en/function.mail.php
147441993102384875,11216708,2,11216672,php.net,php.net,http://php.net/manual/en/book.image.php
-4683002830059403787,14709296,2,14709013,php.net,php.net,http://php.net/manual/en/function.mail.php
-5858070634449031179,10954691,2,10954652,php.net,php.net,http://php.net/manual/en/function.imagestring.php
-5858070634449031179,41313239,2,41313162,php.net,php.net,http://php.net/manual/en/function.imagettftext.php
-5858070634449031179,41313239,2,41313162,php.net,php.net,http://php.net/manual/en/function.imagestring.php
-5858070634449031179,7843045,2,7842992,php.net,php.net,http://php.net/manual/en/function.imagettftext.php
-5858070634449031179,10954691,2,10954652,php.net,php.net,http://php.net/manual/en/function.imagettftext.php
3253642193395332605,11941888,1,11941888,php.net,php.net,http://php.net/manual/en/function.time.php
-2148328411180859395,11863757,2,11863710,php.net,php.net,http://php.net/manual/en/mysqli.prepare.php
-2148328411180859395,36409472,2,36409319,php.net,php.net,http://php.net/manual/en/mysqli.prepare.php
-2148328411180859395,13321970,2,13321759,php.net,php.net,http://php.net/manual/en/mysqli.prepare.php
-2148328411180859395,26648878,2,26648743,php.net,php.net,http://php.net/manual/en/mysqli.prepare.php
-2148328411180859395,5967080,2,5966961,php.net,php.net,http://php.net/manual/en/mysqli.prepare.php
-8023795032488105868,50739533,1,50739533,site.ru,site.ru,https://site.ru/api/route
4710517518590047171,30171694,1,30171694,url.net,url.net,http://url.net
-829113233595852810,28446494,1,28446494,blog.app,blog.app,http://blog.app/profile/1
4593371915952167168,37711587,1,37711587,plnkr.co,plnkr.co,http://plnkr.co/edit/P8R20LkV5mh8ipqNIsr9?p=info
9106322759522864506,50369949,1,50369949,plnkr.co,plnkr.co,http://plnkr.co/edit/2HNIOZ
7342102130512535530,34946883,1,34946883,plnkr.co,plnkr.co,http://plnkr.co/edit/S5H7mXUibdhSmA92J0Pi?p=preview
7342102130512535530,34962135,1,34962135,plnkr.co,plnkr.co,http://plnkr.co/edit/S5H7mXUibdhSmA92J0Pi?p=preview
-5893792438426740340,49292156,2,49291775,proto.io,proto.io,https://proto.io/freebies/onoff/
-5893792438426740340,33552745,1,33552745,proto.io,proto.io,https://proto.io/freebies/onoff/
-5893792438426740340,34272446,1,34272446,proto.io,proto.io,https://proto.io/freebies/onoff/
-6868263799955184175,34837031,2,34833860,rdsrc.us,rdsrc.us,http://rdsrc.us/MgmODF
3148100725669038565,43813785,1,43813785,alexer.ir,alexer.ir,http://alexer.ir/api/country/IR
2213539791757019382,43178360,2,43177952,qt.io,doc.qt.io,http://doc.qt.io/qt-5/qthread.html
2213539791757019382,45719603,2,45717265,qt.io,doc.qt.io,http://doc.qt.io/qt-5/threads-qobject.html
2213539791757019382,50531797,1,50531797,qt.io,doc.qt.io,http://doc.qt.io/qt-5/qthread.html#quit
2213539791757019382,30267231,2,30266468,qt.io,doc.qt.io,http://doc.qt.io/qt-5.4/qthread.html#details
2213539791757019382,45719603,2,45717265,qt.io,doc.qt.io,http://doc.qt.io/qt-5/qthread.html
2213539791757019382,50531797,1,50531797,qt.io,doc.qt.io,http://doc.qt.io/qt-5/qthread.html
2213539791757019382,50531797,1,50531797,qt.io,doc.qt.io,http://doc.qt.io/qt-5/qthread.html
-5151139722399446198,35530874,1,35530874,imgur.com,imgur.com,http://imgur.com/NvIrY52
8715643768256872819,23922387,1,23922387,imgur.com,imgur.com,http://imgur.com/p74ZqZx
4569389601242930879,42509317,1,42509317,imgur.com,imgur.com,http://imgur.com/a/q5VZF
4569389601242930879,42509317,1,42509317,imgur.com,imgur.com,http://imgur.com/a/20saC
978840992016301051,28046506,1,28046506,imgur.com,imgur.com,"http://imgur.com/U3ger2a,6ThcH1l#1"
978840992016301051,28046506,1,28046506,imgur.com,imgur.com,"http://imgur.com/U3ger2a,6ThcH1l"
485607546903847101,2079733,2,2079694,jsbin.com,jsbin.com,http://jsbin.com/ejile3
-8789434266838724920,13440844,2,13440133,nuget.org,nuget.org,https://nuget.org/packages/WPtoolkit
-2534620685889392869,26092547,2,26088495,scotch.io,scotch.io,http://scotch.io/tutorials/javascript/angularjs-multi-step-form-using-ui-router
-8701252044853379478,42748354,1,42748354,scotch.io,scotch.io,https://scotch.io/tutorials/using-hammerjs-touch-gesture-in-angular-2
3542569812550438770,45251144,2,45251095,scotch.io,scotch.io,https://scotch.io/courses/getting-started-with-angular-2/systemjs
