ContentNormalizedHash,PostId,PostTypeId,ParentId,LinkedPostId,LinkedPostTypeId
-3399730390510564232,4958209,1,4958209,4951089,1
1958759571542122920,40414721,1,40414721,38487653,1
-7298035432613726809,12434945,1,12434945,12474622,1
-7298035432613726809,12434945,1,12434945,12474622,1
2996818480178301583,34063105,1,34063105,16222748,1
-8200562195828355285,40092417,1,40092417,40051134,1
-7237121032057621406,17482753,1,17482753,10859254,1
-238413144935038056,12568577,1,12568577,11454699,1
-8568221727780012716,18991617,1,18991617,9825183,1
-3444346688670671941,20369409,1,20369409,18772706,1
-3444346688670671941,20369409,1,20369409,17934622,1
-1308454155929238958,20369409,1,20369409,17934622,1
-3444346688670671941,20369409,1,20369409,2380962,1
-1308454155929238958,20369409,1,20369409,18772706,1
-1308454155929238958,20369409,1,20369409,2380962,1
3445544190039328542,1299969,1,1299969,1228405,1
1312010112472716605,29613569,1,29613569,29584588,2
-8488292124906191422,29613569,1,29613569,29584588,2
8862620007000396676,3596289,1,3596289,273313,1
4097628451751297974,4649217,1,4649217,4648922,1
-4021831179682082076,49082881,1,49082881,48098106,1
-3219452220019417324,10680833,1,10680833,10679499,1
7531350191956902542,10680833,1,10680833,10679499,1
-4966734841977873166,788226,1,788226,784445,1
1699841931940266346,1381890,1,1381890,1375992,1
8876357225296248130,8069634,1,8069634,8064798,1
5315335085344849308,8069634,1,8069634,8064798,1
6507293380657843747,32516098,1,32516098,32457554,1
2639662145438050772,50079746,1,50079746,38714629,1
2639662145438050772,50079746,1,50079746,218384,1
-6706973859951555874,50079746,1,50079746,38714629,1
-6706973859951555874,50079746,1,50079746,218384,1
8399256091176477971,50079746,1,50079746,38714629,1
8399256091176477971,50079746,1,50079746,218384,1
-6161215835225921281,32123394,1,32123394,273192,1
8962472969904738335,35531778,1,35531778,25796226,1
-9044537808392159628,11480066,1,11480066,2527729,1
-9044537808392159628,11480066,1,11480066,2527729,1
2880658025648256558,16723202,1,16723202,16639425,1
-7786504206865393161,39661826,1,39661826,3848063,1
1554454220805590730,28195586,1,28195586,28156666,1
-4462154178795165415,28327938,1,28327938,28325123,2
-8965789298197125325,32523266,1,32523266,32465409,1
-954847264935629339,20203010,1,20203010,20201824,1
8136810757915959407,3229698,1,3229698,3225760,1
4934216631271990594,50613250,1,50613250,32376815,1
4934216631271990594,50613250,1,50613250,18063395,1
-3678371242177042531,46287874,1,46287874,3077242,1
1541396137120947826,38227714,1,38227714,28661285,1
654106175799683921,38227714,1,38227714,28661285,1
-2166623431214025484,5656322,1,5656322,3491105,1
8905035452606755439,29644802,1,29644802,15445373,1
-8639163640788293244,37315586,1,37315586,37163394,1
5921517646551942028,23684098,1,23684098,17245592,1
4496078616274811523,9529602,1,9529602,5624730,1
4496078616274811523,9529602,1,9529602,1361820,1
5841337766169516448,13658370,1,13658370,1057359,1
5841337766169516448,13658370,1,13658370,4847726,1
-3632873871664884552,38629890,1,38629890,38609701,1
7775707695432859068,8024834,1,8024834,5323427,1
-807449154709410037,43873538,1,43873538,2572633,2
-5540685908610392544,50886402,1,50886402,47399449,1
95615618586957239,37451778,1,37451778,12290985,2
7443420134771529447,42957314,1,42957314,10614286,1
7443420134771529447,42957314,1,42957314,10614286,1
-5646998099212291548,26968834,1,26968834,3818004,1
2769802500669176229,4166146,1,4166146,3850285,2
2769802500669176229,4166146,1,4166146,780046,2
-3956826762039739657,11637250,1,11637250,11622324,1
-8335795782928892030,23042050,1,23042050,14181142,1
7072555405852097439,36149506,1,36149506,19867734,1
-4235582215084102714,34249730,1,34249730,34204369,1
515938237343201524,40475906,1,40475906,14220321,1
-5377284705106260702,33989122,1,33989122,16877678,2
-5377284705106260702,33989122,1,33989122,16877678,2
3696697583549248351,30516226,1,30516226,30521474,1
-6542136200844535734,30516226,1,30516226,30521474,1
-6783872530611053184,16229634,1,16229634,6480900,2
-2599915948296800745,41002498,1,41002498,35028081,2
-2599915948296800745,41002498,1,41002498,14098275,1
-2599915948296800745,41002498,1,41002498,26808367,1
9084896976340057774,30715138,1,30715138,23401675,1
1610024977906038688,48803586,1,48803586,3325387,1
-2381555425665945367,30454530,1,30454530,2444430,1
-5274651954854317144,9090050,1,9090050,190702,1
2765961254967293693,9090050,1,9090050,190702,1
-8815561781333853293,32750850,1,32750850,32749332,1
6559149553207630485,25673218,1,25673218,19170338,1
6559149553207630485,25673218,1,25673218,19730244,1
6559149553207630485,25673218,1,25673218,19432475,1
-8021782417843890331,21938178,1,21938178,7947030,1
2032901473820595482,41927426,1,41927426,38320613,2
6505771838597597331,31048450,1,31048450,6567119,1
4007126617011403298,45336578,1,45336578,10721244,1
7648513443544748882,45336578,1,45336578,10718572,1
7648513443544748882,45336578,1,45336578,10721244,1
