"PostId","PostTypeId","ParentId","CreationDate"
37489539,2,37401830,"2016-05-27 17:48:01"
37490553,2,37163992,"2016-05-27 18:57:33"
37839392,2,37733233,"2016-06-15 15:14:38"
38373218,2,38211642,"2016-07-14 11:39:33"
40350663,2,39385589,"2016-10-31 21:13:05"
40893922,2,40373832,"2016-11-30 16:53:33"
41662535,2,41214287,"2017-01-15 14:58:05"
42887121,2,42886356,"2017-03-19 13:26:00"
45250078,2,43652353,"2017-07-22 02:30:12"
46630625,2,46599446,"2017-10-08 11:34:03"
46633060,2,46265475,"2017-10-08 15:53:52"
46966721,2,46754052,"2017-10-27 02:44:11"
48382767,2,48378200,"2018-01-22 13:31:17"
48423680,2,48423332,"2018-01-24 13:29:38"
49765537,2,49759022,"2018-04-11 02:26:55"
