"PostId","PostTypeId","ParentId","CreationDate"
11835602,1,11835602,"2012-08-06 20:39:31"
16299066,1,16299066,"2013-04-30 11:43:33"
16314982,1,16314982,"2013-05-01 08:27:38"
17746053,1,17746053,"2013-07-19 12:25:38"
19427101,1,19427101,"2013-10-17 12:43:24"
20359844,1,20359844,"2013-12-03 19:24:13"
27755808,1,27755808,"2015-01-03 14:19:18"
28818977,1,28818977,"2015-03-02 20:34:20"
32880476,1,32880476,"2015-10-01 06:06:59"
37146178,1,37146178,"2016-05-10 18:22:30"
38935496,1,38935496,"2016-08-13 17:56:37"
43027348,2,43027235,"2017-03-26 10:00:19"
50832701,1,50832701,"2018-06-13 08:38:49"
