"PostId","PostTypeId","ParentId","CreationDate"
15369075,1,15369075,"2013-03-12 18:21:17"
15390139,1,15390139,"2013-03-13 15:53:40"
17653779,2,17652219,"2013-07-15 12:01:04"
17669076,2,17668917,"2013-07-16 05:59:04"
18673588,2,18672874,"2013-09-07 13:04:29"
22009294,2,22009244,"2014-02-25 09:05:49"
22087567,2,22086350,"2014-02-28 06:10:22"
22317790,2,22317761,"2014-03-11 06:11:51"
23308405,1,23308405,"2014-04-26 08:14:35"
23345580,1,23345580,"2014-04-28 15:50:15"
23624884,2,23624747,"2014-05-13 07:14:20"
24627745,1,24627745,"2014-07-08 09:02:49"
26383285,2,26382095,"2014-10-15 13:00:23"
30270392,2,30270322,"2015-05-16 00:00:07"
31573280,2,31573094,"2015-07-22 20:23:04"
32199394,1,32199394,"2015-08-25 08:43:23"
38400865,1,38400865,"2016-07-15 16:20:20"
42599016,2,42595585,"2017-03-04 17:29:11"
43261481,1,43261481,"2017-04-06 16:58:49"
46505063,2,46504781,"2017-09-30 17:06:11"
