"PostId","PostTypeId","ParentId","CreationDate"
31006986,1,31006986,"2015-06-23 15:25:00"
31389127,1,31389127,"2015-07-13 16:55:20"
31401908,2,31400506,"2015-07-14 08:45:02"
31642845,1,31642845,"2015-07-26 23:04:01"
33612980,1,33612980,"2015-11-09 15:52:57"
34398941,2,34397719,"2015-12-21 15:17:30"
34952782,1,34952782,"2016-01-22 17:37:08"
35241325,2,35241197,"2016-02-06 13:01:02"
35265434,1,35265434,"2016-02-08 08:46:41"
35283446,2,35283138,"2016-02-09 03:35:03"
35568634,2,35568590,"2016-02-23 04:06:01"
38344669,1,38344669,"2016-07-13 06:59:28"
