"Url","PostCount"
"http://www.eclipse.org/eclipselink/moxy.php",4
"http://jcp.org/en/jsr/detail?id=222",2
"http://bdoughan.blogspot.com/2010/12/extending-jaxb-representing-annotations.html",2
"http://blog.bdoughan.com/2010/12/extending-jaxb-representing-annotations.html",2
"http://bdoughan.blogspot.com/2010/07/xpath-based-mapping.html",1
"http://ws.apache.org/jaxme/",1
"http://bdoughan.blogspot.com/2011/06/using-eclipselink-moxy-with-metadata.html",1
"http://bdoughan.blogspot.com/2011/06/moxy-extensible-models-multiple.html",1
"http://blog.bdoughan.com/2011/05/specifying-eclipselink-moxy-as-your.html",1
"http://bdoughan.blogspot.com/2010/09/xpath-based-mapping-geocode-example.html",1
"http://jaxb.java.net/",1
