"Url","PostCount"
"https://github.com/commonsguy/cw-omnibus/tree/master/Camera/Content",7
"http://developer.android.com/reference/android/provider/MediaStore.html#ACTION_IMAGE_CAPTURE",2
"https://developer.android.com/training/camera/photobasics.html",1
"https://commonsware.com/blog/2014/04/07/storage-situation-internal-storage.html",1
"http://developer.android.com/reference/android/content/Context.html#getExternalFilesDir(java.lang.String)",1
"https://commonsware.com/blog/2014/04/08/storage-situation-external-storage.html",1
"http://commonsware.com/Android",1
"http://commonsware.com/blog/2014/04/08/storage-situation-external-storage.html",1
"http://android-arsenal.com/tag/46",1
"http://commonsware.com/blog/2014/04/09/storage-situation-removable-storage.html",1
