"PostId","PostTypeId","ParentId","CreationDate"
16354853,2,16354411,"2013-05-03 08:47:05"
17367987,1,17367987,"2013-06-28 15:11:38"
21074553,2,21074361,"2014-01-12 12:21:25"
21949219,1,21949219,"2014-02-22 03:23:25"
24612915,2,24612582,"2014-07-07 14:24:09"
25514863,1,25514863,"2014-08-26 20:46:25"
27301427,1,27301427,"2014-12-04 18:35:46"
29772813,1,29772813,"2015-04-21 12:55:00"
31976916,2,31976007,"2015-08-12 23:09:01"
32350897,1,32350897,"2015-09-02 10:36:57"
37572258,1,37572258,"2016-06-01 14:57:14"
38003030,1,38003030,"2016-06-23 22:37:44"
38021298,1,38021298,"2016-06-24 20:05:40"
38790012,1,38790012,"2016-08-05 13:05:28"
39476557,2,39475897,"2016-09-13 18:16:05"
40944841,1,40944841,"2016-12-03 06:10:35"
45673458,1,45673458,"2017-08-14 11:24:28"
46240323,1,46240323,"2017-09-15 13:05:39"
49623360,1,49623360,"2018-04-03 06:12:06"
51401826,1,51401826,"2018-07-18 12:16:59"
51477245,1,51477245,"2018-07-23 11:01:16"
