"PostId","PostTypeId","ParentId","CreationDate"
26031156,2,26030703,"2014-09-25 05:24:50"
31287063,1,31287063,"2015-07-08 08:16:19"
32092987,2,8423768,"2015-08-19 10:31:27"
33302203,2,33302072,"2015-10-23 12:20:06"
34767907,1,34767907,"2016-01-13 13:24:33"
35055519,2,35055356,"2016-01-28 07:43:48"
37283175,2,37264905,"2016-05-17 17:53:03"
40217014,2,40216701,"2016-10-24 11:15:24"
42887872,1,42887872,"2017-03-19 14:42:06"
45954670,2,45954540,"2017-08-30 07:41:29"
49672238,2,49672163,"2018-04-05 12:19:25"
49750978,2,49715524,"2018-04-10 10:11:37"
