"PostId","PostTypeId","ParentId","CreationDate"
11250264,2,11210292,"2012-06-28 17:53:15"
17145650,2,17145609,"2013-06-17 10:45:51"
18038932,2,18038813,"2013-08-04 01:30:46"
20544116,2,20543847,"2013-12-12 12:51:59"
23610756,1,23610756,"2014-05-12 13:44:42"
30720967,2,30720933,"2015-06-09 00:02:36"
34812683,1,34812683,"2016-01-15 13:57:17"
35338750,1,35338750,"2016-02-11 11:58:05"
45031023,2,45030688,"2017-07-11 09:47:46"
48370537,2,48365021,"2018-01-21 18:59:04"
52086592,1,52086592,"2018-08-29 21:54:09"
52087791,2,52086592,"2018-08-30 00:40:37"
