MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleConnections;TextBlockVersionCount;PossibleConnectionsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleConnectionsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;threeShingleOverlapNormalized;0.0;28514555806;0.9671688275004178;0.9555390372840262;0.9613363460937434;0.9704365761430045;0.9641548218135749;0.9648889381515988;0.9645218101388088;0.9732415038952241;700;3005;14280;42604;8066;24586;5646;18596;223;121;4519;0.9620037485091157;0.9790185538408185;0.9935352887749105;0.9881502736595993;0.18380379077523795;6214;18018;4310;13471;116;121;1097;0.973791233619521;0.9726923944933423;0.9910977045320777;0.9914624273202326;0.06088356088356088
SET;fourGramDiceNormalizedPadding;0.1;25246375536;0.9789152175701181;0.971934217528335;0.9754184722546487;0.9811971709504916;0.9775733494904002;0.9752045049963929;0.9763882088531444;0.9822031989186754;700;3005;14280;42604;8066;24586;5688;18680;139;79;692;0.9761455294319547;0.9863013698630136;0.9957886880963804;0.9926138477071045;0.028146099406166112;6214;18018;4360;13500;87;71;0;0.9804362491567349;0.9839765290002257;0.9947682558396581;0.9935968204901744;0.0
PROFILE;cosineTwoGramNormalizedNormalizedTermFrequency;0.5;32141475585;0.9748682504012078;0.9743996587259702;0.97463392640197;0.9805858901022708;0.9808556896978118;0.9796648088104849;0.9802600684096457;0.985118376550169;700;3005;14280;42604;8066;24586;5657;18705;114;110;4;0.9802460578755848;0.9809259580371077;0.9941536008503853;0.9939422923641001;1.6269421622061337E-4;6214;18018;4369;13517;70;62;0;0.9842306825861681;0.9860076732114647;0.9954341262243169;0.9948480164863472;0.0
SET;twoGramJaccardNormalized;0.3;23024631958;0.9744515145250392;0.9765684337216625;0.9755093998918819;0.9812434873219869;0.9810667221978633;0.9815146838002597;0.9812906774371155;0.9858900553109831;700;3005;14280;42604;8066;24586;5650;18720;99;117;4;0.9827796138458862;0.9797121553667418;0.9937888198757764;0.9947393591582975;1.6269421622061337E-4;6214;18018;4367;13526;61;64;0;0.9862240289069557;0.9855563078311893;0.9952906548933039;0.995510414366674;0.0
FINGERPRINT;winnowingFourGramJaccard;0.5;12935227192;0.9335037962557773;0.9725870564116437;0.9528450605158748;0.9630620985010706;0.968095025318668;0.9812008635172449;0.974625915317988;0.9807407407407407;700;3005;14280;42604;8066;24586;5397;18775;44;370;568;0.9919132512405808;0.9358418588520895;0.980673805171063;0.9976619374036878;0.023102578703327097;6214;18018;4303;13546;41;128;0;0.9905616942909761;0.9711126156623787;0.9906391692262688;0.9969824096562891;0.0
SET;twoShingleJaccardNormalized;0.4;27902844635;0.9444699813569941;0.9744503190984095;0.9593430432917059;0.9683594788620048;0.9678644592318348;0.981738603024495;0.9747768473467759;0.9808437856328392;700;3005;14280;42604;8066;24586;5463;18766;53;304;2354;0.9903915881073242;0.9472862840298248;0.9840587309910854;0.9971836973271694;0.09574554624583097;6214;18018;4301;13549;38;130;65;0.9912422217100715;0.9706612502821034;0.9904963813144235;0.9972032089497314;0.0036075036075036075
EDIT;optimalAlignmentNormalized;0.6;389765304973;0.9221236855826773;0.9710095815538171;0.946250988944529;0.9575844716031633;0.9631104725488575;0.982034172826606;0.972526295917061;0.9790545953988784;700;3005;14280;42604;8066;24586;5328;18786;33;439;0;0.9938444320089536;0.9238772325299116;0.9771651495448634;0.9982464530527658;0.0;6214;18018;4277;13558;29;154;0;0.9932652113330237;0.9652448657187994;0.9887689614935823;0.9978656068300581;0.0
SET;twoShingleJaccard;0.7;14351670818;0.8496646795603979;0.9534799611628171;0.9000767998724697;0.9180082366154999;0.8985310393926171;0.9661266065569039;0.9317160211000114;0.9459812418378251;700;3005;14280;42604;8066;24586;4904;18806;13;863;2813;0.9973561114500712;0.8503554707820358;0.956123849712746;0.9993092087783623;0.11441470755714635;6214;18018;3984;13579;8;447;1019;0.9979959919839679;0.8991198375084631;0.9681306145729359;0.999411201884154;0.05655455655455655
FINGERPRINT;winnowingTwoGramOptimalAlignment;0.8;167336785171;0.843687954758487;0.9527479461211357;0.8965611892466068;0.914779667387015;0.922227721857072;0.9734801510886328;0.9475074574965351;0.9589587242026265;700;3005;14280;42604;8066;24586;4868;18811;8;899;0;0.9983593109105825;0.8441130570487255;0.9543886352105531;0.9995748977097614;0.0;6214;18018;4089;13579;8;342;0;0.9980473517207713;0.922816519972918;0.9754327993678615;0.999411201884154;0.0
FINGERPRINT;winnowingFourGramOptimalAlignmentNormalized;1.0;56891826995;0.6993377255348661;0.9149218697798203;0.7998996058593393;0.8229294165646674;0.8206607445017313;0.9442309812554686;0.8802802395025764;0.901363073110285;700;3005;14280;42604;8066;24586;4034;18816;3;1733;692;0.9992568739162745;0.6994971388937056;0.9156649958635457;0.9998405866411605;0.028146099406166112;6214;18018;3637;13585;2;794;0;0.9994503984611157;0.8208079440306928;0.9447805827943528;0.9998528004710385;0.0
FINGERPRINT;winnowingFiveGramJaccard;0.3;12939799699;0.9580931202709893;0.9752892278211274;0.9666529363995268;0.9742734217227149;0.9802131742183164;0.9844179622797498;0.9823133184293901;0.9866425175458455;700;3005;14280;42604;8066;24586;5548;18745;74;219;825;0.9868374244041267;0.9620253164556962;0.9884518034170007;0.996067803815293;0.033555682095501506;6214;18018;4358;13542;45;73;0;0.9897796956620486;0.9835251636199503;0.994638266617701;0.9966880105983661;0.0
SET;twoGramDiceNormalized;0.8;21973205554;0.925284043212971;0.9726382089224255;0.9486657022023957;0.9595188941746701;0.9640916864705842;0.9819404829988463;0.972975157066252;0.9794144556267154;700;3005;14280;42604;8066;24586;5345;18790;29;422;4;0.9946036471901749;0.9268250390150858;0.9780345617322507;0.9984590041978851;1.6269421622061337E-4;6214;18018;4282;13556;31;149;0;0.9928124275446325;0.9663732791694877;0.9891280554542138;0.9977184073010966;0.0
PROFILE;cosineFourGramNormalizedTermFrequency;0.0;39113668196;0.9756961660437604;0.9647541281125795;0.9702097216449311;0.9772121420586465;0.9776567160482719;0.9742574145328033;0.9759555852997719;0.9818795723128869;700;3005;14280;42604;8066;24586;5682;18639;180;85;692;0.9692937563971341;0.9852609675741286;0.9954603717154454;0.9904351984696318;0.028146099406166112;6214;18018;4362;13495;92;69;0;0.979344409519533;0.984427894380501;0.9949130050132704;0.9932288216677707;0.0
SET;tokenDiceNormalized;1.0;24913372378;0.6693254725160396;0.9079899642960534;0.7795773290009642;0.8019112911602784;0.807266982622433;0.9408628211342704;0.8715087438911283;0.8933566433566433;700;3005;14280;42604;8066;24586;3860;18819;0;1907;587;1.0;0.6693254725160396;0.9079899642960533;1.0;0.02387537623037501;6214;18018;3577;13587;0;854;0;1.0;0.8072669826224329;0.9408628211342704;1.0;0.0
SET;threeGramOverlapNormalized;0.9;24086280237;0.9392400603660733;0.9637316218335759;0.9514070352208153;0.9623874271587497;0.9571935398242744;0.9767794252357715;0.9669368933229037;0.9748053137883647;700;3005;14280;42604;8066;24586;5450;18710;109;317;355;0.9803921568627451;0.945032079070574;0.9833394649708309;0.9942079812954993;0.014439111689579436;6214;18018;4256;13542;45;175;0;0.9895373169030458;0.9605055292259084;0.9872421083327259;0.9966880105983661;0.0
FINGERPRINT;winnowingFiveGramDice;0.6;12483098679;0.9426017279243435;0.974534270717232;0.9584350199672134;0.9676045087423449;0.972824595018168;0.9839880316480691;0.9783903916079497;0.9836140191169777;700;3005;14280;42604;8066;24586;5451;18770;49;316;825;0.9910909090909091;0.9452054794520548;0.983443361626323;0.9973962484722887;0.033555682095501506;6214;18018;4322;13552;35;109;0;0.9919669497360569;0.9754005867749943;0.9920210819120123;0.9974240082431737;0.0
SET;twoShingleDice;0.1;13622204027;0.970385004223703;0.9740249307274267;0.9722032639926314;0.9787012083804224;0.9798451753959125;0.9832932841363842;0.9815677156774454;0.9860843986876343;700;3005;14280;42604;8066;24586;5629;18712;107;138;2813;0.9813458856345886;0.9760707473556441;0.9926790450928382;0.9943142568680589;0.11441470755714635;6214;18018;4358;13537;50;73;1019;0.9886569872958257;0.9835251636199503;0.9946362968405584;0.9963200117759623;0.05655455655455655
EDIT;damerauLevenshteinNormalized;0.1;544385558597;0.9697697687238436;0.9656007758472152;0.9676830271700118;0.9752808988764045;0.9741193927705498;0.9732319030001495;0.9736755467687541;0.9801533603969329;700;3005;14280;42604;8066;24586;5642;18658;161;125;0;0.9722557297949337;0.9783249523148951;0.9933450460522814;0.9914448164089484;0.0;6214;18018;4346;13496;91;85;0;0.979490646833446;0.9808169713382984;0.9937412561667035;0.9933024214322514;0.0
