"PostId","PostTypeId","CommentId","CreationDate","UserId","OwnerDisplayName"
34631170,1,57007914,"2016-01-06 10:56:44",2272172,
34631170,1,57008008,"2016-01-06 10:59:27",2235817,
27970737,1,59810534,"2016-03-18 11:28:39",1505939,
36098769,1,59843163,"2016-03-19 09:16:49",1816580,
36118191,1,59877463,"2016-03-20 19:45:36",3740093,
36098769,1,59891936,"2016-03-21 08:41:09",6085590,
37008733,1,61570660,"2016-05-03 16:13:18",757508,
37008733,1,61572611,"2016-05-03 17:07:00",2371515,
37008733,1,61573944,"2016-05-03 17:46:22",757508,
38181840,1,63790383,"2016-07-04 10:10:15",5411888,
39196951,1,65737349,"2016-08-29 04:43:03",2936216,
39196951,1,65755818,"2016-08-29 14:15:42",2615065,
40971189,1,69152793,"2016-12-05 10:20:08",662615,
40971189,1,69155668,"2016-12-05 11:34:57",697154,
40971189,1,69157227,"2016-12-05 12:18:55",1398399,
40971189,1,69160831,"2016-12-05 13:54:38",1146363,
40971189,1,69166557,"2016-12-05 16:17:07",1220930,
43798210,1,74636647,"2017-05-05 06:49:52",468725,
43798210,1,74637027,"2017-05-05 07:01:40",1540468,
43798210,1,74637155,"2017-05-05 07:06:37",1248008,
43798210,1,74640358,"2017-05-05 08:42:10",147192,
43798210,1,74651986,"2017-05-05 13:42:47",1248008,
43798210,1,74657499,"2017-05-05 15:55:58",147192,
43798210,1,74662371,"2017-05-05 18:25:07",388520,
43798210,1,74681554,"2017-05-06 14:36:15",147192,
43798210,1,74681918,"2017-05-06 14:53:23",388520,
33776809,1,82206649,"2017-12-03 23:18:53",1850609,
36118191,1,82326002,"2017-12-06 20:55:45",1888444,
48114152,1,83204124,"2018-01-05 13:02:55",35777,
48114152,1,83222916,"2018-01-06 00:16:59",9177460,
48114152,1,83269556,"2018-01-08 07:17:00",35777,
49676981,1,86365326,"2018-04-05 16:18:34",519413,
49676981,1,86365398,"2018-04-05 16:20:26",519413,
51748818,1,90459203,"2018-08-08 14:52:37",1048572,
51748818,1,90459239,"2018-08-08 14:53:32",1048572,
