"PostId","PostTypeId","ParentId","CreationDate"
37463676,1,37463676,"2016-05-26 14:25:31"
37533322,2,37533209,"2016-05-30 20:32:53"
37673205,1,37673205,"2016-06-07 07:35:36"
37791486,1,37791486,"2016-06-13 13:48:30"
37843845,2,37809885,"2016-06-15 19:07:30"
37930645,2,37930535,"2016-06-20 19:47:38"
37948441,2,37947541,"2016-06-21 15:21:00"
38000558,2,37345273,"2016-06-23 19:48:05"
38008136,2,38007674,"2016-06-24 07:42:33"
38259800,2,38259387,"2016-07-08 05:56:56"
38322505,2,38322021,"2016-07-12 07:27:14"
38344110,2,38184432,"2016-07-13 06:27:52"
39068722,1,39068722,"2016-08-21 20:48:01"
39982486,1,39982486,"2016-10-11 16:47:43"
40728153,2,40726030,"2016-11-21 19:47:34"
47012078,2,47011740,"2017-10-30 09:42:30"
47948265,2,47948212,"2017-12-22 22:58:34"
