"PostId","PostTypeId","ParentId"
22644814,1,22644814
11977453,1,11977453
34538552,1,34538552
37547692,1,37547692
48480805,1,48480805
28654092,1,28654092
35014319,1,35014319
28649667,1,28649667
35408712,1,35408712
22281851,1,22281851
31632217,1,31632217
16498986,1,16498986
11386928,2,11386883
35568995,2,35568850
16222305,2,16222192
20802145,2,20801411
17046894,2,17028174
32552912,2,32552452
22619462,2,22618159
39192406,2,39192095
22846243,2,22846148
33571019,2,33570873
17437485,2,17437386
20208370,2,20208319
32559118,2,32558995
24202990,2,24202828
46083217,2,46082694
