"PostId","PostTypeId","ParentId","CreationDate"
2493589,1,2493589,"2010-03-22 15:41:45"
2875915,2,2873510,"2010-05-20 16:41:48"
4332022,2,4330885,"2010-12-02 05:34:50"
8349121,2,8341372,"2011-12-01 22:19:39"
12229151,2,12219407,"2012-09-01 15:44:39"
13379769,2,211176,"2012-11-14 13:31:16"
13602729,1,13602729,"2012-11-28 10:19:00"
30096072,2,30095904,"2015-05-07 08:45:29"
37500319,2,23780201,"2016-05-28 14:41:41"
45669988,2,11377018,"2017-08-14 08:03:46"
50148324,2,50148218,"2018-05-03 06:30:54"
