"PostId","PostTypeId","ParentId"
45141465,1,45141465
17361417,1,17361417
22463644,1,22463644
48255650,1,48255650
23832690,1,23832690
18104081,1,18104081
32978998,1,32978998
47575666,1,47575666
34114910,1,34114910
45972470,1,45972470
31891191,1,31891191
23520538,1,23520538
51268669,1,51268669
47092154,1,47092154
50582615,1,50582615
40680939,1,40680939
41615543,1,41615543
17157847,1,17157847
29693375,1,29693375
39345951,1,39345951
51404054,1,51404054
45103210,1,45103210
42538946,1,42538946
40038460,1,40038460
22302293,1,22302293
41507213,1,41507213
47969203,1,47969203
19437573,1,19437573
34125804,1,34125804
43231329,1,43231329
21871318,1,21871318
36331896,1,36331896
43628546,1,43628546
18982691,1,18982691
44900206,1,44900206
31880214,1,31880214
23749984,1,23749984
51398751,1,51398751
32539322,1,32539322
36147889,1,36147889
24341285,1,24341285
21352871,1,21352871
43100925,1,43100925
40614462,1,40614462
30000035,1,30000035
51313259,1,51313259
51813717,1,51813717
32512299,1,32512299
42742869,1,42742869
43949821,1,43949821
30630991,1,30630991
44900533,2,44900206
