"HashValue","ThreadCount","LineCount"
"-4254055884953055702",8,44
"6148205857420913129",8,42
"3903270173783939077",8,42
"6895209274453527528",8,42
"-2095177140698163643",8,42
"7934293943617714784",8,41
"-870907804595177072",8,41
"5289854828844283396",8,41
"7033485488345308104",8,40
"-3533777151832372002",8,38
"-6989384187470228972",8,37
"5135640990147307673",8,36
"-2160898252056638478",8,35
"7140669375228845080",8,35
"-4821586516982269618",8,35
"5290391990452997947",8,34
"-4245168638247710155",8,32
"-5763793125731606629",8,31
"6956713358124936175",8,31
"-471723751904566360",8,31
"6011817815904882917",8,30
"3798182619210162000",8,30
"790047003239401413",8,29
"-3572277688513893115",8,29
"7290973074541156134",8,28
"8528126096049028643",8,28
"-5858070634449031179",8,28
"-5761503065898476361",8,27
"1404436576429233810",8,27
"8099534288015709696",8,27
"-6500249012456597290",8,24
"580254965657790071",8,24
"4057254715059966512",8,24
"3836917373720717746",8,23
"-3195852196100646136",8,23
"485607546903847101",8,22
"4820290793457668457",7,374
"8123111761618467476",7,158
"4647132496444666153",7,150
"-5210080652456827021",7,150
"-3797311061146730926",7,125
"3895858055505143799",7,119
"-6427069715545091728",7,115
"-7013044399635970540",7,105
"-9020367314868897319",7,104
"3891796000992890557",7,98
"3677187917039538253",7,92
"-822985486122289568",7,89
"-5269488934762945888",7,88
"7133085841619644450",7,84
"-3942509255400703052",7,82
"4777602232607231306",7,77
"7639735243856883260",7,76
"-3569313439872226556",7,76
"5926779484911530976",7,73
"1423378431109717224",7,70
"-8721870048897768134",7,69
"2489625192477763556",7,66
"1388200812100721394",7,63
"178615073772769725",7,62
"8630391557189731108",7,60
"-9152312263599898882",7,60
"-859923329185040896",7,59
"7250886340197727914",7,59
"2903693604825925669",7,58
"-152983120750475117",7,58
"6192563515783359784",7,58
"4650423236965794280",7,57
"-74134386470572286",7,57
"6610981878372055650",7,57
"978840992016301051",7,53
"-4311888134744091615",7,51
"-1761440668202600454",7,51
"-4788072928341417627",7,51
"-1256209134127783965",7,47
"3904722103129497086",7,47
"-8571059175320836658",7,47
"-7155517812742274910",7,46
"-5210259840589668157",7,46
"-4816270635512714267",7,45
"7796908969231665626",7,43
"8984489108258405303",7,43
"-6778563487215722896",7,42
"3648269030534168926",7,42
"4441367612164212893",7,42
"4513035749191282382",7,41
"-404131629417659092",7,41
"2341524940657599414",7,41
"8404608536136541441",7,41
"-8831238429617271512",7,40
"-2087667477905951444",7,40
"-2721974336094988075",7,40
"-8302065817576728973",7,39
"-1755100536907271607",7,38
"417661322389481325",7,37
"2213539791757019382",7,37
"1344348875067040743",7,37
"-6685772472337813763",7,36
"-4840774419216094811",7,36
"-3837666173352327282",7,36
"-8811684297459935758",7,36
"641241605970420242",7,34
"-6697813093223855670",7,34
"-3182432590532199363",7,34
"6695662838436526717",7,34
"8287996706841922285",7,33
"5888177405587098470",7,33
"-4387817131698424304",7,33
"-6848899284629889983",7,32
"-1147022563321652099",7,32
"4390097984731655937",7,32
"-6500893646956768357",7,32
"-5957670467540132124",7,32
"4415066901954614115",7,32
"7911389066091498004",7,32
"-3649299141471801193",7,31
"6767177024937218971",7,31
"9212283162113982853",7,31
"-626661735748945664",7,31
"-8433953513507548904",7,30
"7794977556085010624",7,29
"5601408684321156395",7,28
"-7431863138204447294",7,27
"-7616880549903751700",7,27
"1183278166022604516",7,26
"-9012697084987678731",7,26
"-7606616859300897205",7,25
"1509722767604417151",7,25
"4455399961956540780",7,25
"-5317856726261573023",7,24
"273883331500495339",7,24
"5933491443417784140",7,23
"-1287625931860734414",7,23
"-1660629039029144163",7,23
"1285258962606565063",7,23
"-2129541815821626723",7,23
"2968521476674548071",7,22
"-2525650162212549013",7,22
"9021348330889796731",7,21
"-8817317638666662649",7,20
"4504875590470092702",7,20
"-8449044269742190178",6,257
"-504294653977591417",6,254
"8077482404871478465",6,239
"6695569438130837568",6,188
"-3216684853017641881",6,186
"3224418094889049902",6,169
"-6268176132432003008",6,159
"-315220135051016029",6,140
"2728558584288938808",6,135
"-9131089500354668336",6,128
"-1250343221847980167",6,127
"-790001823392833728",6,124
"207944707108550613",6,121
"6519357850793231325",6,120
"-7070538668226392881",6,119
"1010083565050373259",6,114
"4365257276033999576",6,111
"-4606079262378767696",6,110
"6052419038994772376",6,106
"2369040016613881548",6,106
"3315999684358408914",6,105
"147441993102384875",6,105
"3661036621455180183",6,104
"-6959645127231362279",6,100
"-6998442387411209503",6,99
"-7938393519378727411",6,97
"1898107673695799220",6,96
"-7469941329984161277",6,90
"61857747595166744",6,90
"-8927384015516687348",6,86
"694066561841022047",6,82
"-3100022243647380263",6,79
"4275487974958711562",6,78
"7763152455261233074",6,77
"-3199788123874064459",6,77
"3677703920159972275",6,76
"3769577677456633421",6,76
"-8459042868714197209",6,73
"-884883983177438740",6,72
"7295402592833534594",6,71
"8715643768256872819",6,69
"-6956868702792698741",6,69
"-7722577257945935580",6,68
"6414864447294127531",6,66
"107182249319194004",6,66
"-4662617865398499301",6,65
"-2161526969604151963",6,63
"-4262539974279438276",6,63
"-3676325380414689946",6,63
"5285642758916732510",6,62
"8652448581385012453",6,62
"3415662555019872762",6,61
"3333130594070333076",6,61
"-7134295609242431760",6,60
"-7475599296014908134",6,60
"3452272278388001665",6,60
"7682773963757537100",6,60
"-6279757433910193750",6,59
"5212237244318813184",6,58
"6408102173588813903",6,58
"6611643319879415449",6,56
"-3835755800027651598",6,56
"-1428495234864934456",6,55
"-2248520677388179669",6,54
"-8563684939759618715",6,53
"-6384156285430877353",6,53
"3204323727550250259",6,53
"-9156973036279591882",6,53
"4597183570807901777",6,52
"-4901044677709444679",6,51
"-3295157342906008741",6,51
"-6314499617823646422",6,51
"529257344586402162",6,51
"225042623046082676",6,50
"8796748913527410924",6,49
"-5477259117408038176",6,49
"-5543967903149312769",6,49
"5252322701995684984",6,48
"-2004395698121080778",6,48
"4063651626510268247",6,48
"1487743900675740969",6,48
"3201909819369510811",6,48
"-19744997026447516",6,48
"-7820911667698631786",6,48
"3657537119151228995",6,47
"-6411568677711881588",6,47
"1033600139270598359",6,47
"2204159296135526730",6,46
"1909019996700079846",6,46
"-534413657950845416",6,46
"-5819583852953222940",6,46
"787873441593585890",6,46
"-4732399677531967699",6,45
"8692048876370895199",6,45
"-8912628690135773283",6,45
"7526823316434792931",6,45
"-8036041495868358179",6,45
"3218127694042739761",6,45
"3332126482560586514",6,45
"8292775010905863343",6,44
"5773749143934276782",6,44
"3245038168618351625",6,43
"-7285716177730457785",6,43
"5248273705232708188",6,43
"641271774608017570",6,43
"-3176323533132816758",6,42
"-5707093640054936383",6,41
"-3973337732749738974",6,41
"6655500920933732912",6,41
"828219184346715700",6,41
"6092579446099439129",6,40
"-2534620685889392869",6,40
"-6888641362234756131",6,40
"5125731461532631724",6,39
"355876351665870813",6,39
"-5221657954033827981",6,39
"-1132729810140606682",6,38
"-2447376806998789302",6,38
"2548478764527374063",6,38
"4771108977346129382",6,37
"-4640857824942039786",6,37
"103991128712134025",6,36
"2002904310310237249",6,36
"-7622441167755753958",6,36
"-3613424083793176206",6,35
"-8146749513586072024",6,35
"8329634266885311376",6,35
"2521909794167554385",6,35
"6264798679922552696",6,34
"-1588092735420815734",6,34
"2887542805028469825",6,34
"398207380556717603",6,34
