"PostId","PostTypeId","ParentId","CreationDate"
15920544,2,15920365,"2013-04-10 08:20:36"
19900984,1,19900984,"2013-11-11 07:28:48"
24732574,1,24732574,"2014-07-14 08:41:18"
24744195,2,24744125,"2014-07-14 19:21:16"
25316046,1,25316046,"2014-08-14 19:23:42"
27258285,1,27258285,"2014-12-02 20:25:58"
27894579,1,27894579,"2015-01-12 02:38:09"
28064372,1,28064372,"2015-01-21 10:05:08"
37242229,1,37242229,"2016-05-15 18:39:50"
39148518,2,39073853,"2016-08-25 14:53:12"
40911541,2,40908820,"2016-12-01 13:11:25"
42209569,1,42209569,"2017-02-13 17:05:23"
44354060,1,44354060,"2017-06-04 12:24:12"
45352504,2,45350440,"2017-07-27 13:39:10"
49962557,1,49962557,"2018-04-22 04:43:05"
