"PostId","PostTypeId","ParentId","CreationDate"
34799029,1,34799029,"2016-01-14 20:24:12"
37243947,2,37243843,"2016-05-15 21:40:44"
38192327,1,38192327,"2016-07-04 21:18:16"
38192497,2,38192327,"2016-07-04 21:34:47"
39432812,1,39432812,"2016-09-11 04:19:37"
39432902,2,39432812,"2016-09-11 04:37:59"
41895639,2,41895480,"2017-01-27 13:56:27"
42367986,2,42367797,"2017-02-21 12:58:00"
44912472,1,44912472,"2017-07-04 18:49:32"
45282598,2,45167241,"2017-07-24 13:59:38"
49654568,2,49654245,"2018-04-04 15:11:04"
50915621,1,50915621,"2018-06-18 18:40:31"
50916294,2,50915621,"2018-06-18 19:29:31"
50918758,2,13244067,"2018-06-18 23:32:46"
51276516,1,51276516,"2018-07-11 02:46:57"
51276634,2,51276516,"2018-07-11 03:01:21"
