"PostId","PostTypeId","ParentId"
20771794,1,20771794
2953197,1,2953197
1109437,1,1109437
18789801,2,18789618
2227079,2,2227057
13719870,2,13719821
7410554,2,7410519
13253236,2,13252897
719543,2,201323
7735184,2,7734866
2631298,2,2631065
26857175,2,26855757
1804103,2,210945
20773069,2,20771794
721007,2,720990
41112016,2,41111948
32130819,2,32130621
26765065,2,26764944
38787343,2,2049502
30474604,2,1000747
4508703,2,4508540
29604858,2,29604641
35015808,2,1331084
801239,2,800813
1773462,2,1076573
14648353,2,14648317
6261726,2,6261629
2397875,2,2397850
6125446,2,6125368
11312729,2,11312662
19482248,2,15226545
8737353,2,8737312
39418425,2,39418085
25754735,2,25752880
8011495,2,8009582
703068,2,703060
611784,2,611775
43690410,2,43689934
14605471,2,14605398
156469,2,156430
33752159,2,33752018
34316320,2,34297939
