"PostId","PostTypeId","ParentId","CreationDate"
25074069,2,18289931,"2014-08-01 06:22:48"
25205733,2,21787444,"2014-08-08 14:23:46"
25232908,2,25228056,"2014-08-10 20:52:11"
25599228,2,25599173,"2014-09-01 05:17:16"
30772195,2,30772151,"2015-06-11 05:23:05"
31436024,2,31435742,"2015-07-15 16:29:42"
33141296,2,33131311,"2015-10-15 06:23:00"
33713732,2,33713629,"2015-11-14 21:42:55"
36549068,2,15844500,"2016-04-11 12:44:53"
37654784,1,37654784,"2016-06-06 10:11:54"
38117851,2,36931653,"2016-06-30 08:33:30"
38742909,2,12166784,"2016-08-03 11:54:45"
42283844,2,37028172,"2017-02-16 20:21:33"
47986365,2,47986120,"2017-12-27 04:33:10"
48941350,2,48941320,"2018-02-23 04:54:18"
