"PostId","PostTypeId","ParentId","CreationDate"
3071763,2,3071720,"2010-06-18 17:17:53"
8371747,2,8371713,"2011-12-03 23:01:47"
12861919,2,12861814,"2012-10-12 15:04:21"
12861928,2,12861814,"2012-10-12 15:04:52"
15896403,2,15896152,"2013-04-09 07:57:59"
16235713,2,16235436,"2013-04-26 11:49:20"
16827826,2,16827365,"2013-05-30 04:15:18"
18052115,2,18052084,"2013-08-05 06:52:32"
19045348,2,19045270,"2013-09-27 07:41:44"
19309854,2,19309755,"2013-10-11 03:37:04"
19843021,1,19843021,"2013-11-07 17:48:23"
21452147,2,21452075,"2014-01-30 09:16:58"
22450903,2,22450772,"2014-03-17 09:40:17"
26894151,2,26894041,"2014-11-12 18:40:26"
28071864,2,28071802,"2015-01-21 16:15:27"
29762366,2,29762158,"2015-04-21 03:27:02"
31086191,2,31086146,"2015-06-27 07:12:15"
31733301,2,31733045,"2015-07-30 20:21:18"
35530193,2,35529279,"2016-02-20 23:04:33"
38842693,2,38842565,"2016-08-09 05:26:43"
