"PostId","PostTypeId","ParentId","CreationDate"
2156784,2,2156696,"2010-01-28 18:12:34"
2417747,1,2417747,"2010-03-10 14:45:11"
4782113,2,4749551,"2011-01-24 12:45:18"
5357147,1,5357147,"2011-03-18 19:53:31"
5639231,2,5636577,"2011-04-12 17:28:33"
10357592,2,10357199,"2012-04-27 20:45:12"
13331604,1,13331604,"2012-11-11 13:37:36"
13961683,1,13961683,"2012-12-19 21:40:05"
20228157,1,20228157,"2013-11-26 21:17:30"
22311169,1,22311169,"2014-03-10 20:59:35"
34474197,1,34474197,"2015-12-26 18:47:54"
46460242,2,46354626,"2017-09-28 02:57:19"
