"PostId","PostTypeId","ParentId"
41574752,1,41574752
33957723,1,33957723
42906060,1,42906060
38230581,1,38230581
37734696,1,37734696
22947847,2,22947713
40689734,2,40689644
42456366,2,42456204
50503312,2,50502991
36433421,2,36433299
33368777,2,33367516
39692202,2,39690784
12686693,2,12686654
35688933,2,35688724
35607189,2,35606968
46903870,2,15686555
50444641,2,50444425
46903978,2,10108774
36457747,2,36457564
49138987,2,29165094
33833591,2,33832900
37643006,2,37642676
24218659,2,24134714
46904058,2,14437745
33957974,2,33957723
36555589,2,19489573
