"PostId","PostTypeId","ParentId"
21300410,1,21300410
21411353,1,21411353
13241108,1,13241108
30448182,1,30448182
24527259,2,24526131
16226151,2,16226150
34933361,2,34933294
44638410,2,44638276
19052278,2,19052026
22225313,2,22225148
26522444,2,26355406
19800457,2,19800322
29990971,2,29990045
12444983,2,7939399
16407244,2,16407212
14379849,2,14379741
27063157,2,27063086
13057883,2,13057596
20761976,2,20758064
16240790,2,16240687
26998804,2,26995999
15766086,2,15766020
16259612,2,16259574
28143449,2,28143182
