"PostId","PostTypeId","ParentId"
35340610,1,35340610
39556352,1,39556352
35829369,1,35829369
33502520,1,33502520
33982527,1,33982527
37772258,1,37772258
33707004,1,33707004
35342040,1,35342040
49608928,1,49608928
34484311,1,34484311
34563189,1,34563189
35170681,1,35170681
35475344,1,35475344
36269706,1,36269706
39883215,1,39883215
34604289,1,34604289
38900426,1,38900426
50613250,1,50613250
34354199,1,34354199
52129477,1,52129477
37773260,1,37773260
33260201,1,33260201
42884009,1,42884009
37616517,1,37616517
35510250,1,35510250
33322303,1,33322303
41052459,1,41052459
50302233,1,50302233
33961682,1,33961682
35679445,1,35679445
33329203,1,33329203
33410044,1,33410044
37895369,1,37895369
42856023,1,42856023
42785354,1,42785354
36095804,1,36095804
34193072,1,34193072
33885607,1,33885607
36830636,1,36830636
38404092,1,38404092
42834719,1,42834719
38171161,1,38171161
34156317,1,34156317
34829776,1,34829776
33984944,1,33984944
34523384,1,34523384
46626537,1,46626537
35327470,1,35327470
35933205,1,35933205
51810869,1,51810869
41727684,1,41727684
34979957,1,34979957
44570640,1,44570640
36580763,1,36580763
34437579,1,34437579
34389190,1,34389190
35022601,1,35022601
47155386,1,47155386
47816482,1,47816482
33137697,1,33137697
39718241,1,39718241
43259100,1,43259100
34598713,1,34598713
35642745,1,35642745
45403471,1,45403471
41319641,1,41319641
38173504,1,38173504
34448347,1,34448347
45196159,1,45196159
44897440,1,44897440
36965410,2,30586725
42534226,2,42533900
37542216,2,37489879
38389858,2,38389278
36240006,2,35510615
36999713,2,36997416
46403955,2,46402557
33962253,2,33959478
51953341,2,51952136
