"PostId","PostTypeId","ParentId","CreationDate"
9636459,2,9625597,"2012-03-09 15:19:17"
10374259,2,10373611,"2012-04-29 17:28:30"
10470819,2,10470795,"2012-05-06 13:19:05"
13320929,1,13320929,"2012-11-10 09:42:23"
15954855,2,15954770,"2013-04-11 17:12:31"
18774676,2,18774652,"2013-09-12 21:32:21"
19806566,2,19806517,"2013-11-06 07:44:45"
20179202,2,20179139,"2013-11-24 18:29:57"
21102633,2,21102553,"2014-01-13 22:26:34"
40907472,2,40907004,"2016-12-01 09:57:01"
50417590,2,50417446,"2018-05-18 18:49:55"
