"PostId","PostTypeId","ParentId","CreationDate"
5541252,2,5419134,"2011-04-04 16:12:00"
14012795,2,14012766,"2012-12-23 16:55:29"
18512574,2,18512388,"2013-08-29 13:38:17"
22474363,1,22474363,"2014-03-18 08:52:12"
23464238,1,23464238,"2014-05-05 03:14:54"
25057304,2,24970416,"2014-07-31 11:03:59"
34090483,2,34090205,"2015-12-04 14:23:11"
36422039,2,36420559,"2016-04-05 09:16:22"
39725752,2,39326577,"2016-09-27 13:19:39"
43348803,2,43348611,"2017-04-11 14:27:05"
43418306,1,43418306,"2017-04-14 19:50:53"
