"PostId","PostTypeId","ParentId","CreationDate"
6861318,2,6356467,"2011-07-28 15:11:42"
10598594,2,6337217,"2012-05-15 10:16:30"
10598619,2,2280361,"2012-05-15 10:17:43"
10600274,2,10595035,"2012-05-15 12:04:15"
14059593,2,14059308,"2012-12-27 18:42:53"
19696012,2,13701542,"2013-10-30 23:52:59"
20815679,2,20813918,"2013-12-28 14:29:23"
23570191,2,23570063,"2014-05-09 17:00:02"
23629869,2,23629843,"2014-05-13 11:22:59"
24537423,2,24537357,"2014-07-02 17:29:40"
27346088,2,27346036,"2014-12-07 18:18:21"
28043865,1,28043865,"2015-01-20 11:10:30"
39684009,1,39684009,"2016-09-25 06:16:07"
40598418,2,40594380,"2016-11-14 21:50:52"
44224627,2,44224157,"2017-05-28 06:58:35"
