"PostId","PostTypeId","ParentId","CreationDate"
30866648,2,30547283,"2015-06-16 11:46:52"
34934980,2,34347810,"2016-01-21 21:48:23"
35240330,1,35240330,"2016-02-06 11:13:49"
35271820,2,35271492,"2016-02-08 14:18:01"
35988496,2,25886643,"2016-03-14 13:09:55"
40132967,1,40132967,"2016-10-19 13:36:21"
40671574,1,40671574,"2016-11-18 07:27:24"
42293679,2,42276824,"2017-02-17 09:06:44"
42642209,2,42641806,"2017-03-07 07:04:53"
46422922,1,46422922,"2017-09-26 09:40:11"
46710698,2,46404236,"2017-10-12 13:18:51"
47505724,2,47505066,"2017-11-27 07:24:58"
47882764,2,47882400,"2017-12-19 08:27:53"
48679665,2,34722435,"2018-02-08 07:16:03"
