"PostId","PostTypeId","ParentId","CreationDate"
34848051,1,34848051,"2016-01-18 05:50:45"
35223348,1,35223348,"2016-02-05 11:42:10"
35298752,2,35296055,"2016-02-09 17:50:04"
36112417,1,36112417,"2016-03-20 10:06:35"
37019028,1,37019028,"2016-05-04 05:17:24"
37296299,2,37295466,"2016-05-18 10:01:55"
37626441,2,7655874,"2016-06-04 04:42:25"
37851678,1,37851678,"2016-06-16 06:43:34"
39415809,1,39415809,"2016-09-09 16:18:37"
40685914,1,40685914,"2016-11-18 21:04:18"
40760789,1,40760789,"2016-11-23 09:42:46"
42091582,2,39855158,"2017-02-07 13:52:01"
42220473,1,42220473,"2017-02-14 07:44:50"
42861346,1,42861346,"2017-03-17 15:23:59"
43732640,2,43732440,"2017-05-02 07:41:16"
45075431,1,45075431,"2017-07-13 08:33:15"
45085879,1,45085879,"2017-07-13 16:02:36"
45093166,2,44978530,"2017-07-14 01:23:38"
45103713,2,45085879,"2017-07-14 13:01:46"
45610640,2,45610540,"2017-08-10 10:05:16"
47118663,2,28532054,"2017-11-05 05:59:20"
47640852,1,47640852,"2017-12-04 19:45:02"
48617805,1,48617805,"2018-02-05 07:40:54"
48687178,1,48687178,"2018-02-08 13:55:13"
48729600,1,48729600,"2018-02-11 08:11:41"
49190369,1,49190369,"2018-03-09 09:19:52"
49456179,2,49456112,"2018-03-23 18:24:52"
50967449,2,50966881,"2018-06-21 11:27:38"
51530688,1,51530688,"2018-07-26 03:44:52"
51713332,1,51713332,"2018-08-06 18:06:20"
52119819,2,52119636,"2018-08-31 16:54:05"
