sample;metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotal;truePositivesText;trueNegativesText;falsePositivesText;falseNegativesText;numberOfCodePostsWithThisMetric;runtimeCodeTotal;truePositivesCode;trueNegativesCode;falsePositivesCode;falseNegativesCode
PostId_VersionCount_SO_17-06_sample_100_1;fourGramJaccard;0.5;97;18767817;244;468;3;16;97;25958481;146;233;2;4
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFourGramJaccard;0.3;97;9790567;252;467;4;8;97;17362289;147;233;2;3
PostId_VersionCount_SO_17-06_sample_100_1;cosineTokenNormalizedNormalizedTermFrequency;0.8;97;13654567;236;469;2;24;97;14237966;139;233;2;11
PostId_VersionCount_SO_17-06_sample_100_1;fourGramDice;0.4;97;16137204;254;467;4;6;97;23559424;148;233;2;2
PostId_VersionCount_SO_17-06_sample_100_1;cosineTwoGramNormalizedBool;0.8;97;25319878;238;468;3;22;97;31410271;146;233;2;4
PostId_VersionCount_SO_17-06_sample_100_1;twoShingleOverlapNormalized;0.6;92;23441175;229;435;4;8;96;29867174;143;230;3;4
PostId_VersionCount_SO_17-06_sample_100_1;twoGramOverlapNormalizedPadding;0.8;97;17577593;251;466;5;9;97;25611476;149;233;2;1
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFourGramOverlap;0.9;97;8921325;238;464;7;22;97;16435159;143;232;3;7
PostId_VersionCount_SO_17-06_sample_100_1;fiveGramJaccardNormalized;0.6;96;21611733;224;452;1;27;97;31998484;142;233;2;8
PostId_VersionCount_SO_17-06_sample_100_1;cosineFourGramNormalizedNormalizedTermFrequency;0.7;97;33839021;243;468;3;17;97;41479368;145;233;2;5
PostId_VersionCount_SO_17-06_sample_100_1;cosineTwoShingleNormalizedNormalizedTermFrequency;0.4;92;24439271;233;436;3;4;96;32665020;145;231;2;2
PostId_VersionCount_SO_17-06_sample_100_1;twoShingleJaccardNormalized;0.8;92;21594571;182;438;1;55;96;30142186;131;232;1;16
