metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotal;truePositivesText;trueNegativesText;falsePositivesText;falseNegativesText;numberOfCodePostsWithThisMetric;runtimeCodeTotal;truePositivesCode;trueNegativesCode;falsePositivesCode;falseNegativesCode
cosineThreeGramNormalizedTermFrequency;0.8;679;784441565;5155;17987;47;440;699;819383088;4269;13539;49;161
winnowingTwoGramDiceNormalized;0.3;697;363811389;5638;18669;149;124;699;477190876;4357;13499;89;73
cosineTwoGramNormalizedTermFrequency;0.9;697;628772209;5238;18769;49;524;699;696923676;4237;13544;44;193
damerauLevenshtein;0.3;699;11831286576;5576;18719;102;189;699;21503469038;4341;13516;72;89
winnowingThreeGramOptimalAlignmentNormalized;0.8;679;955271943;4687;18016;18;908;699;2502446533;4062;13568;20;368
levenshteinNormalized;0.7;699;2865930457;5128;18786;35;637;699;6099236777;4205;13554;34;225
twoGramDiceNormalizedPadding;0.3;697;442136723;5634;18656;162;128;699;533757377;4347;13489;99;83
levenshtein;0.7;699;2806481329;5119;18787;34;646;699;7998853695;4191;13557;31;239
fiveGramJaccardNormalized;0.8;658;531395542;4458;17085;14;922;697;648427016;4033;13539;23;389
fiveGramOverlapNormalized;0.6;658;477294092;5221;16964;135;159;697;602273286;4299;13472;90;123
threeShingleJaccardNormalized;0.8;539;441554909;3046;10753;7;799;667;598032017;3503;11118;15;454
winnowingTwoGramJaccard;0.6;699;253057005;5382;18757;64;383;699;367757360;4307;13540;48;123
fourGramOverlapNormalizedPadding;0.8;665;484563070;5215;17334;107;230;699;600922481;4304;13529;59;126
twoShingleDiceNormalized;0.4;616;483179241;4597;14411;80;154;692;604952297;4297;13437;56;89
threeShingleJaccard;0.5;528;220367754;3249;10015;26;391;615;319806058;3324;10159;22;298
threeGramJaccard;0.7;686;419847227;5053;18265;33;599;699;512277858;4213;13553;35;217
threeGramOverlapNormalizedPadding;0.9;679;481000086;5280;17938;96;315;699;581139783;4255;13535;53;175
cosineFourGramNormalizedTermFrequency;0.3;665;819716370;5342;17328;113;103;699;884729712;4355;13504;84;75
threeGramDiceNormalized;0.3;679;471434340;5491;17922;112;104;699;573141910;4361;13510;78;69
cosineFourGramNormalizedNormalizedTermFrequency;0.5;665;821736190;5279;17352;89;166;699;880052224;4350;13525;63;80
