sample;metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotalRelative;truePositivesTextRelative;trueNegativesTextRelative;falsePositivesTextRelative;falseNegativesTextRelative;numberOfCodePostsWithThisMetric;runtimeCodeTotalRelative;truePositivesCodeRelative;trueNegativesCodeRelative;falsePositivesCodeRelative;falseNegativesCodeRelative
PostId_VersionCount_SO_17-06_sample_100_1;threeShingleOverlap;0.9;83;125956.60240963855;1.8674698795180722;3.9397590361445785;0.03614457831325301;0.5542168674698795;89;145246.60674157302;1.2247191011235956;2.168539325842697;0.02247191011235955;0.2247191011235955
PostId_VersionCount_SO_17-06_sample_100_1;twoGramOverlapNormalizedPadding;0.6;97;184388.55670103093;2.649484536082474;4.814432989690721;0.041237113402061855;0.030927835051546393;97;268516.76288659795;1.5463917525773196;2.402061855670103;0.020618556701030927;0.0
PostId_VersionCount_SO_17-06_sample_100_1;damerauLevenshteinNormalized;0.3;97;5471164.175257732;2.6082474226804124;4.824742268041237;0.030927835051546393;0.07216494845360824;97;1.6742049793814434E7;1.5154639175257731;2.381443298969072;0.041237113402061855;0.030927835051546393
PostId_VersionCount_SO_17-06_sample_100_1;longestCommonSubsequence;0.7;97;1803103.1649484537;2.3402061855670104;4.845360824742268;0.010309278350515464;0.3402061855670103;97;7381636.865979382;1.4948453608247423;2.402061855670103;0.020618556701030927;0.05154639175257732
PostId_VersionCount_SO_17-06_sample_100_1;fourGramJaccardNormalizedPadding;0.8;97;244460.11340206186;2.1443298969072164;4.845360824742268;0.010309278350515464;0.5360824742268041;97;321088.55670103093;1.3917525773195876;2.4123711340206184;0.010309278350515464;0.15463917525773196
PostId_VersionCount_SO_17-06_sample_100_1;twoGramJaccard;0.7;97;147280.43298969071;2.402061855670103;4.835051546391752;0.020618556701030927;0.27835051546391754;97;216202.65979381444;1.5051546391752577;2.402061855670103;0.020618556701030927;0.041237113402061855
PostId_VersionCount_SO_17-06_sample_100_1;cosineFourGramNormalizedNormalizedTermFrequency;0.9;97;373718.4948453608;2.1649484536082473;4.845360824742268;0.010309278350515464;0.5154639175257731;97;424554.03092783503;1.402061855670103;2.4123711340206184;0.010309278350515464;0.14432989690721648
PostId_VersionCount_SO_17-06_sample_100_1;winnowingThreeGramOptimalAlignment;0.6;97;351246.7731958763;2.3917525773195876;4.845360824742268;0.010309278350515464;0.28865979381443296;97;3829336.0;1.4948453608247423;2.402061855670103;0.020618556701030927;0.05154639175257732
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFourGramLongestCommonSubsequence;0.3;97;191740.2474226804;2.6082474226804124;4.824742268041237;0.030927835051546393;0.07216494845360824;97;1547116.3402061856;1.5154639175257731;2.381443298969072;0.041237113402061855;0.030927835051546393
PostId_VersionCount_SO_17-06_sample_100_1;fiveGramOverlap;0.7;96;168606.625;2.5104166666666665;4.666666666666667;0.052083333333333336;0.10416666666666667;97;255110.8969072165;1.5051546391752577;2.381443298969072;0.041237113402061855;0.041237113402061855
PostId_VersionCount_SO_17-06_sample_100_1;fiveGramOverlapNormalizedPadding;0.3;96;212260.04166666666;2.5729166666666665;4.677083333333333;0.041666666666666664;0.041666666666666664;97;361992.8144329897;1.5360824742268042;2.402061855670103;0.020618556701030927;0.010309278350515464
PostId_VersionCount_SO_17-06_sample_100_1;manhattanTwoShingleNormalized;0.6;92;262802.4673913043;2.391304347826087;4.739130434782608;0.03260869565217391;0.18478260869565216;96;336347.6979166667;1.46875;2.40625;0.020833333333333332;0.0625
PostId_VersionCount_SO_17-06_sample_100_1;manhattanThreeGramNormalized;0.4;97;319288.86597938143;2.6082474226804124;4.814432989690721;0.041237113402061855;0.07216494845360824;97;387562.57731958764;1.5257731958762886;2.402061855670103;0.020618556701030927;0.020618556701030927
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFiveGramOverlapNormalized;0.7;96;139911.0;2.5104166666666665;4.6875;0.03125;0.10416666666666667;97;229208.11340206186;1.4845360824742269;2.3917525773195876;0.030927835051546393;0.061855670103092786
PostId_VersionCount_SO_17-06_sample_100_1;fourGramDiceNormalized;0.5;97;206386.19587628866;2.5876288659793816;4.824742268041237;0.030927835051546393;0.09278350515463918;97;298334.3711340206;1.5154639175257731;2.402061855670103;0.020618556701030927;0.030927835051546393
PostId_VersionCount_SO_17-06_sample_100_1;winnowingThreeGramJaccard;0.3;97;102210.47422680413;2.6082474226804124;4.814432989690721;0.041237113402061855;0.07216494845360824;97;179317.52577319587;1.5257731958762886;2.402061855670103;0.020618556701030927;0.020618556701030927
PostId_VersionCount_SO_17-06_sample_100_1;manhattanTwoGramNormalized;0.4;97;256658.63917525773;2.618556701030928;4.814432989690721;0.041237113402061855;0.061855670103092786;97;366649.27835051547;1.5360824742268042;2.3917525773195876;0.030927835051546393;0.010309278350515464
PostId_VersionCount_SO_17-06_sample_100_1;twoGramOverlapNormalizedPadding;0.3;97;185217.05154639174;2.649484536082474;4.793814432989691;0.061855670103092786;0.030927835051546393;97;277999.96907216497;1.5463917525773196;2.402061855670103;0.020618556701030927;0.0
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFiveGramOverlap;0.6;96;87955.21875;2.53125;4.666666666666667;0.052083333333333336;0.08333333333333333;97;176970.2680412371;1.5257731958762886;2.3917525773195876;0.030927835051546393;0.020618556701030927
PostId_VersionCount_SO_17-06_sample_100_1;winnowingThreeGramJaccardNormalized;0.4;97;152264.1443298969;2.5876288659793816;4.835051546391752;0.020618556701030927;0.09278350515463918;97;240209.11340206186;1.5154639175257731;2.402061855670103;0.020618556701030927;0.030927835051546393
