metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotalRelative;truePositivesTextRelative;trueNegativesTextRelative;falsePositivesTextRelative;falseNegativesTextRelative;numberOfCodePostsWithThisMetric;runtimeCodeTotalRelative;truePositivesCodeRelative;trueNegativesCodeRelative;falsePositivesCodeRelative;falseNegativesCodeRelative
longestCommonSubsequenceNormalized;0.6;699;7565067.403433477;7.620886981402003;26.84406294706724;0.0815450643776824;0.6266094420600858;699;1.1859853882689556E7;6.127324749642346;19.376251788268956;0.06294706723891273;0.21030042918454936
levenshteinNormalized;0.8;699;4107295.1359084407;7.031473533619456;26.889842632331902;0.0357653791130186;1.2160228898426324;699;8710517.104434907;5.889842632331903;19.40343347639485;0.0357653791130186;0.44778254649499283
winnowingThreeGramOptimalAlignment;0.8;686;1494648.0976676384;6.937317784256559;26.644314868804663;0.029154518950437316;1.3017492711370262;699;5284033.6208869815;5.815450643776824;19.409155937052933;0.030042918454935622;0.5221745350500715
fiveGramOverlapNormalizedPadding;0.9;658;743998.1489361703;7.5121580547112465;25.86322188449848;0.12310030395136778;0.6641337386018237;697;877872.8335724534;5.989956958393114;19.38880918220947;0.06886657101865136;0.35437589670014347
twoGramOverlapNormalizedPadding;0.7;697;629741.3486370158;8.084648493543758;26.77187948350072;0.2266857962697274;0.18220946915351507;699;768219.313304721;6.216022889842632;19.311874105865524;0.12732474964234622;0.12160228898426323
winnowingTwoGramJaccard;0.8;699;357181.8941344778;7.160228898426324;26.888412017167383;0.03719599427753934;1.0872675250357653;699;524098.426323319;5.949928469241774;19.399141630901287;0.04005722460658083;0.3876967095851216
tokenOverlap;0.7;699;178695.44492131617;7.8927038626609445;26.741058655221746;0.18454935622317598;0.3547925608011445;699;233534.43776824034;6.108726752503577;19.353361945636625;0.08583690987124463;0.22889842632331903
winnowingFourGramLongestCommonSubsequenceNormalized;0.3;665;882844.5353383459;7.864661654135339;26.112781954887218;0.11428571428571428;0.3233082706766917;699;1988143.6051502146;6.197424892703863;19.36051502145923;0.07868383404864092;0.1402002861230329
cosineThreeGramNormalizedNormalizedTermFrequency;0.3;679;1166130.263622975;8.12960235640648;26.374079528718703;0.18556701030927836;0.11045655375552282;699;1172388.6065808297;6.236051502145923;19.316165951359086;0.12303290414878398;0.10157367668097282
cosineThreeGramNormalizedBool;0.6;679;1156425.8011782032;7.90279823269514;26.44624447717231;0.1134020618556701;0.33726067746686306;699;1171047.826895565;6.200286123032904;19.356223175965667;0.08297567954220315;0.13733905579399142
winnowingThreeGramOptimalAlignmentNormalized;0.4;679;1411591.561119293;7.827687776141384;26.46686303387334;0.09278350515463918;0.41237113402061853;699;3582498.243204578;6.157367668097282;19.36480686695279;0.07439198855507868;0.18025751072961374
fourGramJaccard;0.5;674;657124.4629080119;7.71513353115727;26.501483679525222;0.08753709198813056;0.5281899109792285;699;795009.7925608011;6.15450643776824;19.371959942775394;0.06723891273247497;0.18311874105865522
winnowingFourGramJaccard;0.3;674;337333.3456973294;7.948071216617211;26.467359050445104;0.12166172106824925;0.2952522255192878;699;528045.0;6.23032904148784;19.34620886981402;0.09298998569384835;0.1072961373390558
cosineTokenNormalizedNormalizedTermFrequency;0.8;699;475331.30472103006;7.502145922746781;26.858369098712448;0.06723891273247497;0.7453505007153076;699;466365.3347639485;5.9814020028612305;19.394849785407725;0.044349070100143065;0.3562231759656652
fourGramDice;0.4;674;564096.3887240356;8.011869436201781;26.445103857566764;0.14391691394658754;0.2314540059347181;699;710571.426323319;6.23175965665236;19.340486409155936;0.09871244635193133;0.10586552217453506
cosineTwoGramNormalizedBool;0.8;697;901761.3515064563;7.667144906743185;26.91822094691535;0.08034433285509325;0.599713055954089;699;969601.8640915593;6.118741058655222;19.376251788268956;0.06294706723891273;0.21888412017167383
twoShingleOverlapNormalized;0.6;616;794328.8441558442;7.490259740259741;23.34090909090909;0.18344155844155843;0.2224025974025974;692;880384.0289017342;6.157514450867052;19.387283236994218;0.11127167630057803;0.18063583815028902
twoGramOverlapNormalizedPadding;0.8;697;626922.6929698709;8.048780487804878;26.79770444763271;0.20086083213773315;0.21807747489239598;699;766565.4535050072;6.210300429184549;19.333333333333332;0.10586552217453506;0.12732474964234622
winnowingFourGramOverlap;0.9;674;315380.9421364985;7.6943620178041545;26.40652818991098;0.1824925816023739;0.5489614243323442;699;499990.4463519313;6.021459227467811;19.3519313304721;0.08726752503576538;0.31616595135908443
fiveGramJaccardNormalized;0.6;658;849266.4483282674;7.387537993920972;25.933130699088146;0.05319148936170213;0.7887537993920972;697;931765.5480631277;6.048780487804878;19.40315638450502;0.054519368723098996;0.29555236728837875
cosineFourGramNormalizedNormalizedTermFrequency;0.7;665;1244561.7172932331;7.64812030075188;26.13984962406015;0.08721804511278196;0.5398496240601504;699;1254068.852646638;6.141630901287554;19.37052932761087;0.06866952789699571;0.19599427753934193
cosineTwoShingleNormalizedNormalizedTermFrequency;0.4;616;924502.5405844155;7.508116883116883;23.39448051948052;0.12987012987012986;0.20454545454545456;692;982017.1531791907;6.218208092485549;19.411849710982658;0.08670520231213873;0.1199421965317919
twoShingleJaccardNormalized;0.8;616;806774.0064935065;6.3522727272727275;23.503246753246753;0.021103896103896104;1.3603896103896105;692;892259.3193641618;5.734104046242774;19.471098265895954;0.02745664739884393;0.6040462427745664
twoShingleDice;0.9;596;379081.07382550335;5.958053691275167;22.906040268456376;0.016778523489932886;1.645973154362416;651;419390.3164362519;5.192012288786482;17.506912442396313;0.018433179723502304;0.8494623655913979
winnowingFiveGramOptimalAlignment;0.8;665;768183.4360902256;6.821052631578947;26.276691729323307;0.02857142857142857;1.3789473684210527;699;3954280.1058655223;5.781115879828326;19.409155937052933;0.030042918454935622;0.5565092989985694
winnowingThreeGramDice;0.7;686;329452.10641399416;7.673469387755102;26.58746355685131;0.08600583090379009;0.565597667638484;699;506638.12732474966;6.15450643776824;19.376251788268956;0.06294706723891273;0.18311874105865522
fiveGramJaccardNormalizedPadding;0.6;658;835055.3100303952;7.360182370820668;25.934650455927052;0.05167173252279635;0.8161094224924013;697;951103.0889526543;6.038737446197992;19.40459110473458;0.05308464849354376;0.30559540889526543
cosineThreeGramNormalizedTermFrequency;0.8;679;1155289.4918998526;7.592047128129602;26.49042709867452;0.06921944035346098;0.6480117820324006;699;1172221.8712446352;6.1072961373390555;19.369098712446352;0.07010014306151645;0.23032904148783978
winnowingTwoGramDiceNormalized;0.3;697;521967.5595408895;8.088952654232425;26.784791965566715;0.21377331420373027;0.17790530846484937;699;682676.503576538;6.2331902718168815;19.311874105865524;0.12732474964234622;0.1044349070100143
cosineTwoGramNormalizedTermFrequency;0.9;697;902112.2080344333;7.51506456241033;26.92826398852224;0.0703012912482066;0.7517934002869441;699;997029.5793991416;6.061516452074392;19.376251788268956;0.06294706723891273;0.2761087267525036
damerauLevenshtein;0.3;699;1.692601799141631E7;7.977110157367668;26.779685264663804;0.1459227467811159;0.2703862660944206;699;3.0763188895565093E7;6.210300429184549;19.336194563662374;0.10300429184549356;0.12732474964234622
winnowingThreeGramOptimalAlignmentNormalized;0.8;679;1406880.6229749632;6.90279823269514;26.53313696612666;0.026509572901325478;1.337260677466863;699;3580037.9585121605;5.8111587982832615;19.410586552217453;0.02861230329041488;0.5264663805436338
levenshteinNormalized;0.7;699;4100043.572246066;7.336194563662374;26.875536480686694;0.05007153075822604;0.9113018597997139;699;8725660.625178827;6.015736766809728;19.390557939914164;0.04864091559370529;0.3218884120171674
twoGramDiceNormalizedPadding;0.3;697;634342.5007173601;8.083213773314204;26.766140602582496;0.23242467718794835;0.1836441893830703;699;763601.3977110158;6.218884120171674;19.297567954220316;0.14163090128755365;0.11874105865522175
levenshtein;0.7;699;4014994.748211731;7.323319027181688;26.876967095851217;0.04864091559370529;0.9241773962804005;699;1.1443281394849785E7;5.9957081545064375;19.394849785407725;0.044349070100143065;0.3419170243204578
fiveGramJaccardNormalized;0.8;658;807592.009118541;6.775075987841945;25.965045592705167;0.02127659574468085;1.4012158054711246;697;930311.3572453371;5.78622668579627;19.42467718794835;0.03299856527977044;0.5581061692969871
fiveGramOverlapNormalized;0.6;658;725370.9604863222;7.934650455927052;25.78115501519757;0.20516717325227962;0.24164133738601823;697;864093.6671449067;6.167862266857963;19.32855093256815;0.1291248206599713;0.17647058823529413
threeShingleJaccardNormalized;0.8;539;819211.3339517625;5.651205936920222;19.94990723562152;0.012987012987012988;1.4823747680890538;667;896599.7256371814;5.251874062968516;16.668665667166415;0.022488755622188907;0.6806596701649176
winnowingTwoGramJaccard;0.6;699;362027.1888412017;7.6995708154506435;26.834048640915594;0.09155937052932761;0.547925608011445;699;526119.2560801144;6.161659513590844;19.37052932761087;0.06866952789699571;0.1759656652360515
fourGramOverlapNormalizedPadding;0.8;665;728666.2706766918;7.842105263157895;26.066165413533835;0.16090225563909774;0.3458646616541353;699;859688.8140200286;6.157367668097282;19.354792560801144;0.0844062947067239;0.18025751072961374
twoShingleDiceNormalized;0.4;616;784381.8847402597;7.462662337662338;23.39448051948052;0.12987012987012986;0.25;692;874208.5216763006;6.209537572254336;19.417630057803468;0.08092485549132948;0.12861271676300579
threeShingleJaccard;0.5;528;417363.17045454547;6.153409090909091;18.96780303030303;0.04924242424242424;0.740530303030303;615;520009.85040650406;5.404878048780488;16.51869918699187;0.03577235772357724;0.4845528455284553
threeGramJaccard;0.7;686;612022.1967930029;7.365889212827988;26.62536443148688;0.048104956268221574;0.8731778425655977;699;732872.4721030043;6.027181688125894;19.38912732474964;0.05007153075822604;0.3104434907010014
threeGramOverlapNormalizedPadding;0.9;679;708394.8247422681;7.776141384388807;26.41826215022091;0.14138438880706922;0.4639175257731959;699;831387.3862660944;6.087267525035766;19.363376251788267;0.07582260371959942;0.2503576537911302
cosineFourGramNormalizedTermFrequency;0.3;665;1232656.1954887218;8.033082706766917;26.057142857142857;0.1699248120300752;0.1548872180451128;699;1265707.7424892704;6.23032904148784;19.319027181688124;0.12017167381974249;0.1072961373390558
threeGramDiceNormalized;0.3;679;694306.8335787923;8.086892488954344;26.394698085419734;0.16494845360824742;0.15316642120765833;699;819945.5078683834;6.238912732474964;19.32761087267525;0.11158798283261803;0.09871244635193133
cosineFourGramNormalizedNormalizedTermFrequency;0.5;665;1235693.5187969925;7.938345864661654;26.093233082706767;0.13383458646616542;0.24962406015037594;699;1259016.0572246066;6.223175965665236;19.349070100143063;0.09012875536480687;0.11444921316165951
cosineThreeShingleNormalizedTermFrequency;0.3;538;944096.2881040892;6.983271375464684;19.87174721189591;0.12825278810408922;0.16356877323420074;667;998675.1949025487;5.815592203898051;16.614692653673163;0.07646176911544228;0.11694152923538231
manhattanTokenNormalized;0.9;699;463250.8469241774;6.844062947067239;26.898426323319025;0.027181688125894134;1.4034334763948497;699;464587.9313304721;5.683834048640915;19.416309012875537;0.022889842632331903;0.65379113018598
threeShingleJaccardNormalized;0.5;538;832250.6338289963;6.518587360594796;19.934944237918216;0.06505576208178439;0.6282527881040892;667;901459.6326836582;5.619190404797601;16.64167916041979;0.049475262368815595;0.31334332833583206
winnowingThreeGramLongestCommonSubsequenceNormalized;0.8;679;1107435.0162002945;6.930780559646539;26.53019145802651;0.029455081001472753;1.309278350515464;699;2891116.17167382;5.836909871244635;19.410586552217453;0.02861230329041488;0.5007153075822603
cosineFiveGramNormalizedNormalizedTermFrequency;0.7;658;1292541.9179331306;7.583586626139818;25.908814589665653;0.07750759878419453;0.5927051671732523;697;1330754.269727403;6.127690100430416;19.387374461979913;0.0703012912482066;0.21664275466284075
cosineThreeShingleNormalizedBool;0.3;538;944359.8531598513;6.988847583643123;19.86802973977695;0.13197026022304834;0.1579925650557621;667;991261.904047976;5.817091454272863;16.614692653673163;0.07646176911544228;0.11544227886056972
twoShingleOverlap;0.8;596;385726.0234899329;7.030201342281879;22.796979865771814;0.12583892617449666;0.5738255033557047;651;423437.87250384025;5.591397849462366;17.46390168970814;0.06144393241167435;0.4500768049155146
tokenOverlap;0.4;699;181379.83977110157;8.044349070100143;26.716738197424892;0.2088698140200286;0.20314735336194564;699;234160.4406294707;6.207439198855508;19.321888412017167;0.11731044349070101;0.1301859799713877
fourGramJaccardNormalizedPadding;0.9;665;808735.969924812;6.36390977443609;26.210526315789473;0.016541353383458645;1.82406015037594;699;926418.9699570816;5.570815450643777;19.41917024320458;0.020028612303290415;0.7668097281831188
threeGramOverlapNormalizedPadding;0.5;679;716689.9793814434;8.10162002945508;26.36082474226804;0.19882179675994108;0.13843888070692195;699;834573.226037196;6.221745350500715;19.311874105865524;0.12732474964234622;0.11587982832618025
winnowingTwoGramOverlapNormalized;0.5;697;534297.7030129125;7.994261119081779;26.69010043041607;0.3084648493543759;0.27259684361549497;699;680188.1273247496;6.164520743919885;19.2689556509299;0.17024320457796852;0.17310443490701002
winnowingFiveGramLongestCommonSubsequence;0.6;665;599862.0601503759;7.442105263157894;26.251127819548874;0.05413533834586466;0.7578947368421053;699;2469074.34620887;6.052932761087267;19.390557939914164;0.04864091559370529;0.28469241773962806
fiveGramJaccard;0.9;665;677404.3789473685;6.3654135338345865;26.28721804511278;0.01804511278195489;1.8345864661654134;699;814090.017167382;5.550786838340486;19.417739628040056;0.02145922746781116;0.7868383404864091
winnowingFiveGramLongestCommonSubsequence;0.4;665;599759.9909774436;7.769924812030075;26.210526315789473;0.09473684210526316;0.43007518796992483;699;2456979.0228898427;6.171673819742489;19.361945636623748;0.07725321888412018;0.1659513590844063
winnowingThreeGramJaccard;0.9;686;344666.7886297376;6.521865889212828;26.653061224489797;0.02040816326530612;1.717201166180758;699;523455.2818311874;5.63376251788269;19.416309012875537;0.022889842632331903;0.703862660944206
levenshteinNormalized;0.3;699;4128810.5522174537;7.972818311874106;26.77110157367668;0.15450643776824036;0.27467811158798283;699;8747638.376251789;6.210300429184549;19.334763948497855;0.1044349070100143;0.12732474964234622
threeGramOverlap;0.3;686;540836.0583090379;8.051020408163266;26.397959183673468;0.2755102040816326;0.1880466472303207;699;674926.7925608011;6.19170243204578;19.277539341917024;0.16165951359084407;0.1459227467811159
winnowingTwoGramDiceNormalized;0.8;697;516068.7474892396;7.569583931133429;26.92826398852224;0.0703012912482066;0.697274031563845;699;674414.3519313305;6.094420600858369;19.38483547925608;0.05436337625178827;0.24320457796852646
cosineTwoShingleNormalizedNormalizedTermFrequency;0.3;616;915817.0487012987;7.558441558441558;23.378246753246753;0.1461038961038961;0.15422077922077923;692;971851.7471098265;6.235549132947977;19.40028901734104;0.09826589595375723;0.10260115606936417
cosineTokenNormalizedNormalizedTermFrequency;0.4;699;478719.7696709585;8.068669527896995;26.758226037195993;0.16738197424892703;0.17882689556509299;699;470489.556509299;6.2331902718168815;19.350500715307582;0.08869814020028613;0.1044349070100143
winnowingFourGramOverlap;0.6;674;319157.91691394657;7.989614243323442;26.367952522255194;0.22106824925816024;0.25370919881305637;699;501448.04721030046;6.197424892703863;19.32331902718169;0.11587982832618025;0.1402002861230329
winnowingFiveGramOverlapNormalized;0.4;658;500189.64741641335;7.968085106382978;25.78419452887538;0.20212765957446807;0.20820668693009117;697;654893.1879483501;6.200860832137733;19.329985652797703;0.12769010043041606;0.14347202295552366
twoShingleDiceNormalized;0.5;616;783473.6493506493;7.3814935064935066;23.40909090909091;0.11525974025974026;0.33116883116883117;692;880151.3901734104;6.176300578034682;19.42630057803468;0.07225433526011561;0.16184971098265896
tokenJaccardNormalized;0.6;670;844181.9462686568;7.552238805970149;26.446268656716416;0.058208955223880594;0.691044776119403;699;907140.426323319;6.080114449213162;19.380543633762517;0.058655221745350504;0.2575107296137339
threeGramOverlap;0.4;686;543375.6457725947;8.042274052478135;26.4067055393586;0.26676384839650147;0.1967930029154519;699;674255.5793991416;6.200286123032904;19.28898426323319;0.15021459227467812;0.13733905579399142
winnowingTwoGramDice;0.4;699;344712.017167382;8.048640915593705;26.736766809728184;0.1888412017167382;0.1988555078683834;699;508334.7582260372;6.243204577968527;19.32474964234621;0.11444921316165951;0.0944206008583691
winnowingTwoGramOverlap;0.6;699;345552.43776824034;7.967095851216023;26.620886981402002;0.30472103004291845;0.2804005722460658;699;512927.1230329042;6.1816881258941345;19.281831187410585;0.15736766809728184;0.15593705293276108
threeShingleDiceNormalized;0.9;538;806489.2732342008;5.594795539033457;19.98884758364312;0.011152416356877323;1.5520446096654275;667;876574.2368815592;5.214392803598201;16.671664167916042;0.019490254872563718;0.7181409295352323
levenshteinNormalized;0.4;699;4121354.7625178825;7.894134477825465;26.816881258941343;0.10872675250357654;0.35336194563662376;699;8692064.535050072;6.1931330472103;19.3519313304721;0.08726752503576538;0.14449213161659513
fourGramDiceNormalized;0.6;665;704342.7413533834;7.753383458646616;26.133834586466165;0.09323308270676692;0.4345864661654135;699;840175.3519313305;6.177396280400572;19.367668097281832;0.0715307582260372;0.16022889842632332
cosineTwoShingleNormalizedNormalizedTermFrequency;0.5;616;915848.0503246753;7.422077922077922;23.396103896103895;0.12824675324675325;0.2905844155844156;692;986530.0361271676;6.190751445086705;19.420520231213874;0.07803468208092486;0.14739884393063585
tokenDiceNormalized;0.9;670;741131.2865671642;6.901492537313433;26.47910447761194;0.025373134328358207;1.3417910447761194;699;823747.339055794;5.801144492131616;19.40772532188841;0.031473533619456366;0.5364806866952789
threeGramOverlap;0.7;686;552383.2842565598;8.004373177842565;26.454810495626823;0.21865889212827988;0.23469387755102042;699;669016.7081545064;6.1931330472103;19.321888412017167;0.11731044349070101;0.14449213161659513
fourGramDiceNormalizedPadding;0.4;665;729853.0466165413;7.9563909774436095;26.085714285714285;0.14135338345864662;0.23157894736842105;699;869605.0915593705;6.23175965665236;19.34763948497854;0.09155937052932761;0.10586552217453506
fourGramOverlap;0.9;674;568731.2166172107;7.712166172106825;26.402077151335313;0.18694362017804153;0.5311572700296736;699;707857.1802575107;6.017167381974249;19.34763948497854;0.09155937052932761;0.32045779685264664
winnowingFiveGramLongestCommonSubsequenceNormalized;0.6;658;733684.4650455927;7.376899696048632;25.934650455927052;0.05167173252279635;0.7993920972644377;697;1814032.6111908178;6.06025824964132;19.40028694404591;0.05738880918220947;0.28407460545193686
levenshtein;0.5;699;4029596.9055793993;7.753934191702432;26.829756795422032;0.09585121602288985;0.49356223175965663;699;1.1420085293276109E7;6.1587982832618025;19.376251788268956;0.06294706723891273;0.17882689556509299
winnowingFiveGramOverlapNormalized;0.9;658;492239.547112462;7.52887537993921;25.820668693009118;0.1656534954407295;0.6474164133738601;697;651797.9454806313;5.952654232424678;19.362984218077475;0.09469153515064563;0.3916786226685796
winnowingFiveGramOptimalAlignment;0.7;665;773520.9112781954;7.141353383458647;26.266165413533834;0.039097744360902256;1.0586466165413533;699;4357356.480686695;5.931330472103005;19.40057224606581;0.03862660944206009;0.4062947067238913
winnowingThreeGramLongestCommonSubsequenceNormalized;0.4;679;1119305.145802651;7.839469808541973;26.459499263622973;0.10014727540500737;0.4005891016200295;699;2903780.738197425;6.175965665236052;19.361945636623748;0.07725321888412018;0.16165951359084407
cosineThreeGramNormalizedTermFrequency;0.7;679;1156294.3549337261;7.795287187039764;26.45066273932253;0.10898379970544919;0.44477172312223856;699;1169192.095851216;6.180257510729613;19.36051502145923;0.07868383404864092;0.15736766809728184
twoGramDiceNormalized;0.7;697;613027.75035868;7.853658536585366;26.893830703012913;0.10473457675753228;0.4131994261119082;699;757798.9427753934;6.1888412017167385;19.36480686695279;0.07439198855507868;0.14878397711015737
threeGramDiceNormalized;0.4;679;695120.8306332843;8.044182621502209;26.40942562592047;0.15022091310751104;0.1958762886597938;699;817372.7339055794;6.23032904148784;19.337625178826894;0.10157367668097282;0.1072961373390558
cosineTokenNormalizedBool;0.3;699;483282.1530758226;8.09585121602289;26.745350500715308;0.18025751072961374;0.15164520743919885;699;470894.6280400572;6.246065808297568;19.34334763948498;0.09585121602288985;0.09155937052932761
twoShingleOverlap;0.4;596;386958.3187919463;7.412751677852349;22.773489932885905;0.1493288590604027;0.1912751677852349;651;425351.8356374808;5.872503840245776;17.43625192012289;0.0890937019969278;0.16897081413210446
twoGramOverlap;0.7;699;458040.28755364806;7.997138769670959;26.6480686695279;0.27753934191702434;0.2503576537911302;699;606084.104434907;6.1931330472103;19.298998569384835;0.1402002861230329;0.14449213161659513
